buildings,production_method_groups,production_methods,type,required_construction,ammunition,small_arms,artillery,tanks,aeroplanes,manowars,ironclads,grain,fish,fabric,wood,groceries,clothes,furniture,paper,services,transportation,electricity,merchant_marine,clippers,steamers,silk,dye,sulfur,coal,iron,lead,hardwood,rubber,oil,engines,steel,glass,fertilizer,tools,explosives,porcelain,meat,fruit,liquor,wine,tea,coffee,sugar,tobacco,opium,automobiles,telephones,radios,luxury_clothes,luxury_furniture,gold,fine_art,elgar_music,manzoni_prints,elgar_instruments,good_uranium,bauxite,alloys,copper,commonores,advancedores,rare_earths,aluminium,plastics,light_fuel,lubricant,heavy_fuel,copperwires,batteries,electroniccomponents,processors,homeappliances,televisions,computer,robotics,water,pharmaceuticals,gas,civil_planes,space_assets,raw_data,organized_data,business_data,telecommunications,softwares,interactive_entertainment,cosmetics,on_demand_goods,ai_systems,androids,global_electricity
building_airport,pmg_cargo_airport,pm_air_freight,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,-5,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
building_airport,pmg_fuel_airport,pm_airport_oil,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_airport,pmg_fuel_airport,pm_airport_kerosene,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
building_airport,pmg_data_optimization_light_industry,pm_manual_data_reporting_light_industry,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
building_airport,pmg_data_optimization_light_industry,pm_manual_data_optimization_light_industry,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,
building_airport,pmg_data_optimization_light_industry,pm_digital_data_optimization_light_industry,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-3,,,,,,,,
building_airport,pmg_data_optimization_light_industry,pm_digital_data_on_premises_light_industry,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,-3,,-1,,,,,,
building_airport,pmg_data_optimization_light_industry,pm_internet_data_reporting_light_industry,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,-4,-2,-3,,,,,,
building_airport,pmg_data_optimization_light_industry,pm_internet_data_optimization_light_industry,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,12,,-6,-5,-4,,,,,,
building_alloys_plant,pmg_alloys_process,pm_basic_smelting_process,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,-15,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_alloys_process,pm_electric_arc_process_alloying,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,-5,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,-25,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_alloys_process,pm_advanced_alloying_techniques,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,-25,-55,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_alloys_process,pm_vacuum_arc_remelting,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,-20,-55,-15,,,,,,,,,-10,,,,,,,,-15,,,,,,,,,,,,,
building_alloys_plant,pmg_aluminiummaking_process,pm_no_aluminium_production,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_aluminiummaking_process,pm_wohler_deville_process,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,-50,-10,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_aluminiummaking_process,pm_hall_heroult_process,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-15,,,-2,,80,,,,,,,-2,,,,,,-5,,,,,,,,,,,,,,,
building_alloys_plant,pmg_aluminiummaking_process,pm_electro-refining_process,upgrade,construction_cost_very_high,,,,,,,,,,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-30,,,-5,,110,,,,,,,-5,,,,,,,,-5,,,,,,,,,,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_automation_disabled,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_watertube_boiler_building_commonalloys_plant,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_rotary_valve_engine_building_commonalloys_plant,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_advanced_assembly_lines_building_commonalloys_plant,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,-2,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_robotic_building_commonalloys_plant,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,-1,,,,-3,,,,,,,,,,,,,,,,
building_alloys_plant,pmg_automation_building_commonalloys_plant,pm_iot_building_commonalloys_plant,labor_saving,construction_cost_very_high,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,-1,,,,-3,,,,,,,,,-5,,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_manual_data_reporting_heavy_industry,balance,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_manual_data_optimization_heavy_industry,balance,construction_cost_very_high,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_digital_data_optimization_heavy_industry,balance,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-3,,,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_digital_data_on_premises_heavy_industry,balance,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,-3,,-1,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_internet_data_reporting_heavy_industry,balance,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,-4,-2,-3,,,,,,
building_alloys_plant,pmg_data_optimization_heavy_industry,pm_internet_data_optimization_heavy_industry,balance,construction_cost_very_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,16,,-6,-5,-4,,,,,,
building_angkor_wat,pmg_base_building_angkor_wat,pm_default_building_angkor_wat,upgrade,construction_cost_monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_angkor_wat,pmg_base_building_angkor_wat,pm_monument_prestige_only,upgrade,construction_cost_monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_angkor_wat,pmg_base_building_angkor_wat,pm_monument_no_effects,upgrade,construction_cost_monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_argebam,pmg_dummy,pm_dummy,upgrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_muskets,upgrade,construction_cost_high,,30,,,,,,,,,,,,,,,,,,,,,,,,-10,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_rifles,upgrade,construction_cost_high,,55,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,-10,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_repeaters,upgrade,construction_cost_high,,70,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,-20,,,-5,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_bolt_action_rifles,upgrade,construction_cost_high,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,-15,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_selective_automatic_rifles,upgrade,construction_cost_high,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,-15,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,-10,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,
building_arms_industry,pmg_firearms_manufacturing,pm_assault_rifles,upgrade,construction_cost_high,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,,,-10,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,-10,,,-10,,,,-2,,,,,,,,,,,,,,,,,,,,,
